solana_influential_accounts
Group Name;Twitter Link;Name;Note
Founders & Project Leads;https://x.com/vibhu;Vibhu Norby;"DRiP founder; writes on consumer crypto apps and user acquisition."
Founders & Project Leads;https://x.com/rawfalafel;Yutaro Mori;"Orca co-founder; technical builder of efficient AMM smart contracts."
Core Protocols, Infra & Programs;https://x.com/birdeye_so;Birdeye;Ecosystem profile for Birdeye (Data/Analytics Platform).
Core Protocols, Infra & Programs;https://x.com/bonk_inu;Bonk;Ecosystem profile for Bonk (Meme Coin Community).
Core Protocols, Infra & Programs;https://x.com/colosseum;Colosseum;"Independent accelerator and VC; runs official Solana hackathons."
Core Protocols, Infra & Programs;https://x.com/cubexch;Cube Exchange;"Hybrid exchange; blends MPC custody with off-chain order execution speed."
Core Protocols, Infra & Programs;https://x.com/DriftProtocol;Drift Protocol;"Top perpetuals exchange; useful for studying on-chain derivative mechanics."
Core Protocols, Infra & Programs;https://x.com/drip_haus;DRiP;"Free digital collectibles platform; showcases micro-payments and mass distribution."
Core Protocols, Infra & Programs;https://x.com/helium;Helium;Ecosystem profile for Helium (DePIN Network).
Core Protocols, Infra & Programs;https://x.com/jito_sol;Jito Labs;"MEV infrastructure leader; key for transaction performance and staking yield optimization."
Core Protocols, Infra & Programs;https://x.com/metaplex;Metaplex;Ecosystem profile for Metaplex (NFT Protocol).
Core Protocols, Infra & Programs;https://x.com/MeteoraAg;Meteora;"Dynamic AMM and liquidity layer; focuses on sustainable LP yields."
Core Protocols, Infra & Programs;https://x.com/multicoin;Multicoin Capital;"Pioneering VC firm; early backer sharing deep theses on Solana."
Core Protocols, Infra & Programs;https://x.com/orca_so;Orca;"Capital-efficient CLMM DEX; essential partner for liquidity providers."
Core Protocols, Infra & Programs;https://x.com/PhoenixTrade;Phoenix;"Fully on-chain limit order book; provides ultra-fast market data and execution."
Core Protocols, Infra & Programs;https://x.com/Raydium;Raydium;"Key AMM and launchpad venue; massive liquidity hub for new tokens."
Core Protocols, Infra & Programs;https://x.com/SagaMobileDAO;Saga Mobile DAO;Ecosystem profile for Saga Mobile DAO (Phone/Ecosystem).
Core Protocols, Infra & Programs;https://x.com/sanctumso;Sanctum;"Liquid staking infrastructure; enables custom LST creation and token utility."
Core Protocols, Infra & Programs;https://x.com/solana;Solana;"Official Solana network account; updates on major milestones and global events."
Core Protocols, Infra & Programs;https://x.com/solflare;Solflare;"Trusted, long-standing wallet; features staking, swap, and dApp security tools."
Core Protocols, Infra & Programs;https://x.com/multisig;Squads;"Multisig and smart account infrastructure; essential for managing startup treasuries."
Core Protocols, Infra & Programs;https://x.com/SuperteamBR;Superteam Brazil;Main gateway for Solana expansion and talent in Latin America.
Core Protocols, Infra & Programs;https://x.com/SuperteamEarn;Superteam Earn;Platform for bounties, grants, and hiring in the Solana ecosystem.
Core Protocols, Infra & Programs;https://x.com/SuperteamDE;Superteam Germany;"Active chapter in Germany; hosts local hacker houses and meetups."
Core Protocols, Infra & Programs;https://x.com/SuperteamUK;Superteam UK;"Solana chapter in the United Kingdom; connects startups with local talent."
Core Protocols, Infra & Programs;https://x.com/tensor_hq;Tensor;"Leading NFT marketplace; tracks marketplace tooling and NFT volumes."
Core Protocols, Infra & Programs;https://x.com/triton_one;Triton One;High-performance RPC and validator services for large-scale enterprise applications.
Core Protocols, Infra & Programs;https://x.com/0xINFRA;0xINFRA;Ecosystem profile for 0xINFRA (Raydium Protocol).
Core Protocols, Infra & Programs;https://x.com/anza_xyz;Anza;"Core developer shop building Solana client; essential for technical node updates."
Core Protocols, Infra & Programs;https://x.com/Helius;Helius;"Leading developer platform; RPCs, APIs, and webhooks for building on Solana."
Core Protocols, Infra & Programs;https://x.com/jump_;Jump Crypto;Major quantitative market builder and developer of Firedancer client.
Core Protocols, Infra & Programs;https://x.com/jump_firedancer;Jump Firedancer;Ecosystem profile for Jump Firedancer (Firedancer Validator).
Core Protocols, Infra & Programs;https://x.com/SeabedLabs;Seabed Labs;Ecosystem profile for Seabed Labs (Solana Infrastructure).
Core Protocols, Infra & Programs;https://x.com/solana_devs;Solana Developers;Official developer updates, hackathon announcements, and technical documentation.
Core Protocols, Infra & Programs;https://x.com/SuperteamFRANCE;Superteam France;Regional community builder supporting builders across French tech.
Core Protocols, Infra & Programs;https://x.com/SuperteamIN;Superteam India;"Ecosystem hub for builders in India; massive developer talent pool."
Core Protocols, Infra & Programs;https://x.com/SuperteamJapan;Superteam Japan;Connects Solana projects with builders and corporate partners in Japan.
Core Protocols, Infra & Programs;https://x.com/SuperteamVN;Superteam Vietnam;"Ecosystem hub in Vietnam; rapidly growing developer community."
Core Protocols, Infra & Programs;https://x.com/JitoFDN;Jito Foundation;Ecosystem profile for Jito Foundation (Liquid Staking/BD).
Core Protocols, Infra & Programs;https://x.com/JupiterExchange;Jupiter;"Leading liquidity aggregator; key infrastructure for token swaps and trading."
Core Protocols, Infra & Programs;https://x.com/kamino;Kamino Finance;Ecosystem profile for Kamino Finance (DeFi/Partnerships).
Core Protocols, Infra & Programs;https://x.com/MagicEden;Magic Eden;Ecosystem profile for Magic Eden (NFT Marketplace/BD).
Core Protocols, Infra & Programs;https://x.com/phantom;Phantom;"Leading consumer wallet; critical portal for user acquisition and dApp integration."
Core Protocols, Infra & Programs;https://x.com/PythNetwork;Pyth Network;"Low-latency oracle network; essential for accurate real-time price feeds."
Core Protocols, Infra & Programs;https://x.com/SolanaFndn;Solana Foundation;"Official foundation account; tracks grants, ecosystem growth, and global initiatives."
Core Protocols, Infra & Programs;https://x.com/superteam;Superteam;Ecosystem profile for Superteam (Ecosystem Growth/BD).
Core Protocols, Infra & Programs;https://x.com/wormhole;Wormhole;Ecosystem profile for Wormhole (Cross-chain/BD).
Core Protocols, Infra & Programs;https://x.com/backpack;Backpack;"Next-gen wallet and exchange; integrates Mad Lads community and xNFTs."
Core Protocols, Infra & Programs;https://x.com/crowdcreate_us;Crowdcreate;Ecosystem profile for Crowdcreate (Crypto Marketing Agency).
Core Protocols, Infra & Programs;https://x.com/SolCommunityy;Solana Community;Ecosystem profile for Solana Community (Community Marketing).
Core Protocols, Infra & Programs;https://x.com/SuperteamTR;Superteam Turkey;"Solana community hub in Turkey; active hacker events and meetups."
Core Protocols, Infra & Programs;https://x.com/Lightspeedpodhq;Lightspeed Podcast;Must-listen podcast covering Solana technology, builders, and ecosystem news.
Core Protocols, Infra & Programs;https://x.com/solanalabs;Solana Labs;"Core technology builder behind Solana; follows software releases and products."
Core Protocols, Infra & Programs;https://x.com/SolanaFloor;SolanaFloor;Ecosystem profile for SolanaFloor (Solana News Platform).
Core Builders & Developers;https://x.com/LAINE_SA_;Laine;"Validator operator and builder; publishes high-quality weekly ecosystem status updates."
Core Builders & Developers;https://x.com/naruto11eth;Naruto11.eth;Ecosystem profile for Naruto11.eth (Avail Developer).
Core Builders & Developers;https://x.com/sherazshere;Sheraz;Enabling payments and commerce in the Solana Ecosystem
Core Builders & Developers;https://x.com/0xdetweiler;Theo Detweiler;Ecosystem profile for Theo Detweiler (3rdSt Capital/Builder).
Core Builders & Developers;https://x.com/jayantkrish;Jayant Krishnamurthy;"Douro Labs/Pyth CTO; technical oracle infrastructure and feed reliability."
BD, Partnerships & Ecosystem Growth;https://x.com/Austin_Federa;Austin Federa;"Head of Strategy at Solana Foundation; clarifies network upgrades and strategic direction."
BD, Partnerships & Ecosystem Growth;https://x.com/calilyliu;Lily Liu;"President of Solana Foundation; key insights on global payments and institutional adoption."
BD, Partnerships & Ecosystem Growth;https://x.com/therealchaseeb;Chase Barker;"Solana Foundation DevRel Lead; essential contact for developer grants and support."
BD, Partnerships & Ecosystem Growth;https://x.com/HighCoinviction;Daniel Cheung;"Syncracy Capital co-founder; market structure and investment thesis analyst."
BD, Partnerships & Ecosystem Growth;https://x.com/kylesamani;Kyle Samani;"Multicoin Managing Partner; publishes bold theses on crypto infrastructure."
BD, Partnerships & Ecosystem Growth;https://x.com/SolBigBrain;SolBigBrain;"Big Brain Holdings founder; early venture investor and startup advisor."
BD, Partnerships & Ecosystem Growth;https://x.com/tushar_jain;Tushar Jain;"Multicoin Managing Partner; focuses on crypto-native business models and incentives."
Researchers, Data & Security;https://x.com/RyanWatkins_;Ryan Watkins;"Syncracy Capital co-founder; deep fundamental research on Solana network value."
Researchers, Data & Security;https://x.com/0xcheeezzyyyy;Cheesey;"Independent researcher; provides data-driven analysis of on-chain activity."
Researchers, Data & Security;https://x.com/MessariCrypto;Messari;Ecosystem profile for Messari (Crypto Research Firm).
Researchers, Data & Security;https://x.com/RektCapital;Rekt Capital;Ecosystem profile for Rekt Capital (Technical Analysis/Research).
Researchers, Data & Security;https://x.com/santiagoroel;Santiago R. Santos;Ecosystem profile for Santiago R. Santos (Crypto Researcher/1kX)
Researchers, Data & Security;https://x.com/solanafm;SolanaFM;"Data explorer; essential for understanding on-chain transaction analysis."
Researchers, Data & Security;https://x.com/SpencerNoon;Spencer Noon;Ecosystem profile for Spencer Noon (Industry Researcher/Investor).
Researchers, Data & Security;https://x.com/StepFinance_;Step Finance;Ecosystem profile for Step Finance (DeFi Analytics Dashboard).
Researchers, Data & Security;https://x.com/TokenUnlocks;Token Unlocks;Ecosystem profile for Token Unlocks (Tokenomics Research).
Researchers, Data & Security;https://x.com/0xliang;协力 (Xie);Ecosystem profile for 协力 (Xie) (Solana On-chain Analyst).
Marketing, Growth & Community;https://x.com/0xSoju;Soju;"Meteora co-lead; ecosystem growth and liquidity alignment strategies."
Marketing, Growth & Community;https://x.com/GarrettHarper_;Garrett Harper;"Lightspeed co-host; interviews builders and distills Solana developments."
Marketing, Growth & Community;https://x.com/kiryl_sol;Kiryl;"Developer Advocate; creates developer resources and bot tooling."
Marketing, Growth & Community;https://x.com/nickfrosty;Nick Frosty;"Developer educator at Solana Foundation; publishes guides, tutorials, and ecosystem resources."
Marketing, Growth & Community;https://x.com/slorgoftheslugs;Slorg;"Jupiter contributor; highly engaged community builder and narrative amplifier."
Marketing, Growth & Community;https://x.com/cozypront;cozypront;Ecosystem profile for cozypront (Block9_NFT/Marketing).
Marketing, Growth & Community;https://x.com/anglio;CryptoAnglio;Ecosystem profile for CryptoAnglio (Doom Syndicate/Memecoins).
Marketing, Growth & Community;https://x.com/leonardnftpage;Leonard NFT Page;Ecosystem profile for Leonard NFT Page (NFT Giveaways/Community).
Marketing, Growth & Community;https://x.com/MortyWeb3;MortyWeb3;Ecosystem profile for MortyWeb3 (Giveaways/Community).
Marketing, Growth & Community;https://x.com/SolanaSensei;Solana Sensei;Ecosystem profile for Solana Sensei (Namaste Collection/Educator).
Marketing, Growth & Community;https://x.com/SolanaNewton;SolanaNewton;Ecosystem profile for SolanaNewton (Memecoin Hunter/Maximalist).
Marketing, Growth & Community;https://x.com/SolJakey;SolJakey;Ecosystem profile for SolJakey (Bell Studios/DRiP Ambassador).
Marketing, Growth & Community;https://x.com/TheSolanaBoss;TheSolanaBoss;Ecosystem profile for TheSolanaBoss (Crypto Insider/Cross-chain).
OGs & Early Ecosystem Builders;https://x.com/blknoiz06;Ansem;Ecosystem profile for Ansem (Bullpen/Independent Trader).
OGs & Early Ecosystem Builders;https://x.com/cobie;Cobie;Ecosystem profile for Cobie (Crypto Veteran/Investor).
OGs & Early Ecosystem Builders;https://x.com/FrankDeGods;Frank DeGods;Ecosystem profile for Frank DeGods (DeGods/Y00ts).
OGs & Early Ecosystem Builders;https://x.com/_JackDunham;Jack Dunham;Ecosystem profile for Jack Dunham (SolanaFloor Founder).
OGs & Early Ecosystem Builders;https://x.com/MoonOverlord;MoonOverlord;Ecosystem profile for MoonOverlord (Independent Trader/Collector).
OGs & Early Ecosystem Builders;https://x.com/SolanaLegend;Solana Legend;Ecosystem profile for Solana Legend (MonkeDAO/Frictionless Capital).
OGs & Early Ecosystem Builders;https://x.com/zCase_;zCase;Ecosystem profile for zCase community lead, events & partnership wizard
OGs & Early Ecosystem Builders;https://x.com/SOLbuckets;SOLbuckets;Ecosystem profile for SOLbuckets (Sandbar).
